,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
0,2015-01-02 00:00:00-05:00,24.718174386973395,24.729270393437197,23.821671579713147,24.26104736328125,212818400,0.0,0.0,AAPL
1,2015-01-05 00:00:00-05:00,24.030267283850048,24.110153799834524,23.391176848987335,23.577577590942383,257142000,0.0,0.0,AAPL
2,2015-01-06 00:00:00-05:00,23.641929414645055,23.839426153600677,23.21808699514755,23.579795837402344,263188400,0.0,0.0,AAPL
3,2015-01-07 00:00:00-05:00,23.78838542297973,24.010292009735185,23.677432129602,23.91043472290039,160423600,0.0,0.0,AAPL
4,2015-01-08 00:00:00-05:00,24.238855753255983,24.886822541149925,24.121243847243377,24.829126358032227,237458000,0.0,0.0,AAPL
5,2015-01-09 00:00:00-05:00,25.002216142194985,25.130922376139836,24.456326110960923,24.855758666992188,214798000,0.0,0.0,AAPL
6,2015-01-12 00:00:00-05:00,24.986676531782834,24.993333457225084,24.14343267985091,24.243289947509766,198603200,0.0,0.0,AAPL
7,2015-01-13 00:00:00-05:00,24.72705053894741,25.03106316625113,24.16784669635183,24.45854377746582,268367600,0.0,0.0,AAPL
8,2015-01-14 00:00:00-05:00,24.196695513641078,24.51845940173482,24.076865748230265,24.365345001220703,195826400,0.0,0.0,AAPL
9,2015-01-15 00:00:00-05:00,24.409722557017083,24.42303640937501,23.668555430204687,23.704059600830078,240056000,0.0,0.0,AAPL
10,2015-01-16 00:00:00-05:00,23.750665290329735,23.872714608651194,23.34457576901996,23.519882202148438,314053200,0.0,0.0,AAPL
11,2015-01-20 00:00:00-05:00,23.930400179680525,24.18115565046122,23.633046232221588,24.12567901611328,199599600,0.0,0.0,AAPL
12,2015-01-21 00:00:00-05:00,24.176720652220492,24.644943660585685,24.025824113604987,24.309865951538086,194303600,0.0,0.0,AAPL
13,2015-01-22 00:00:00-05:00,24.46741335012629,24.957826555781626,24.34758362625843,24.942293167114258,215185600,0.0,0.0,AAPL
14,2015-01-23 00:00:00-05:00,24.92010833317196,25.24187218046509,24.749239327247817,25.07100486755371,185859200,0.0,0.0,AAPL
15,2015-01-26 00:00:00-05:00,25.239653434759713,25.37723612111665,25.03106240494394,25.097633361816406,222460000,0.0,0.0,AAPL
